loss	model	dataset	filtering	type	set
0.700329729	model_bal_1	PCOS	50	training	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.56213705	pred_bal_0_lr1	PCOS	10	test	codacore
0.56213705	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.583042973	pred_bal_0	PCOS	10	test	codacore
0.556329849	pred_bal_0	PCOS	10	test	codacore
0.595818815	pred_bal_0	PCOS	10	test	codacore
0.493612079	pred_bal_0	PCOS	10	test	codacore
0.551684088	pred_bal_0	PCOS	10	test	codacore
0.580720093	pred_bal_0	PCOS	10	test	codacore
0.423925668	pred_bal_0	PCOS	10	test	codacore
0.538908246	pred_bal_0	PCOS	10	test	codacore
0.535423926	pred_bal_0	PCOS	10	test	codacore
0.591173055	pred_bal_0	PCOS	10	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	10	test	codacore
0.566782811	pred_bal_1_lr1	PCOS	10	test	codacore
0.555168409	pred_bal_1_lr1	PCOS	10	test	codacore
0.555168409	pred_bal_1_lr1	PCOS	10	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	10	test	codacore
0.566782811	pred_bal_1_lr1	PCOS	10	test	codacore
0.56213705	pred_bal_1_lr1	PCOS	10	test	codacore
0.555168409	pred_bal_1_lr1	PCOS	10	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	10	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	10	test	codacore
0.537746806	pred_bal_1	PCOS	10	test	codacore
0.547038328	pred_bal_1	PCOS	10	test	codacore
0.555168409	pred_bal_1	PCOS	10	test	codacore
0.555168409	pred_bal_1	PCOS	10	test	codacore
0.547038328	pred_bal_1	PCOS	10	test	codacore
0.56329849	pred_bal_1	PCOS	10	test	codacore
0.56213705	pred_bal_1	PCOS	10	test	codacore
0.555168409	pred_bal_1	PCOS	10	test	codacore
0.552845528	pred_bal_1	PCOS	10	test	codacore
0.549361208	pred_bal_1	PCOS	10	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.508710801	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.464576074	pred_bal_0	PCOS	50	test	codacore
0.506387921	pred_bal_0	PCOS	50	test	codacore
0.49825784	pred_bal_0	PCOS	50	test	codacore
0.506387921	pred_bal_0	PCOS	50	test	codacore
0.490127758	pred_bal_0	PCOS	50	test	codacore
0.49825784	pred_bal_0	PCOS	50	test	codacore
0.505226481	pred_bal_0	PCOS	50	test	codacore
0.495934959	pred_bal_0	PCOS	50	test	codacore
0.487804878	pred_bal_0	PCOS	50	test	codacore
0.506387921	pred_bal_0	PCOS	50	test	codacore
0.518002323	pred_bal_1_lr1	PCOS	50	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	50	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	50	test	codacore
0.494773519	pred_bal_1_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_1_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_1_lr1	PCOS	50	test	codacore
0.505226481	pred_bal_1_lr1	PCOS	50	test	codacore
0.494773519	pred_bal_1_lr1	PCOS	50	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	50	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	50	test	codacore
0.461091754	pred_bal_1	PCOS	50	test	codacore
0.547038328	pred_bal_1	PCOS	50	test	codacore
0.547038328	pred_bal_1	PCOS	50	test	codacore
0.494773519	pred_bal_1	PCOS	50	test	codacore
0.506387921	pred_bal_1	PCOS	50	test	codacore
0.506387921	pred_bal_1	PCOS	50	test	codacore
0.505226481	pred_bal_1	PCOS	50	test	codacore
0.494773519	pred_bal_1	PCOS	50	test	codacore
0.547038328	pred_bal_1	PCOS	50	test	codacore
0.547038328	pred_bal_1	PCOS	50	test	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.790660225	model_bal_0	PCOS	10	training	codacore
0.782992102	model_bal_1	PCOS	10	training	codacore
0.772180048	model_bal_1	PCOS	10	training	codacore
0.760677862	model_bal_1	PCOS	10	training	codacore
0.760677862	model_bal_1	PCOS	10	training	codacore
0.772180048	model_bal_1	PCOS	10	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.73199908	model_bal_0	PCOS	50	training	codacore
0.682693045	model_bal_1	PCOS	50	training	codacore
0.700329729	model_bal_1	PCOS	50	training	codacore
0.716586151	model_bal_1	PCOS	50	training	codacore
0.70968484	model_bal_1	PCOS	50	training	codacore
0.700329729	model_bal_1	PCOS	50	training	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.595818815	pred_bal_0_lr1	PCOS	10	test	codacore
0.520325203	pred_bal_0	PCOS	10	test	codacore
0.537746806	pred_bal_0	PCOS	10	test	codacore
0.527293844	pred_bal_0	PCOS	10	test	codacore
0.587688734	pred_bal_0	PCOS	10	test	codacore
0.635307782	pred_bal_0	PCOS	10	test	codacore
0.555168409	pred_bal_1_lr1	PCOS	10	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	10	test	codacore
0.566782811	pred_bal_1_lr1	PCOS	10	test	codacore
0.566782811	pred_bal_1_lr1	PCOS	10	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	10	test	codacore
0.555168409	pred_bal_1	PCOS	10	test	codacore
0.547038328	pred_bal_1	PCOS	10	test	codacore
0.566782811	pred_bal_1	PCOS	10	test	codacore
0.533101045	pred_bal_1	PCOS	10	test	codacore
0.547038328	pred_bal_1	PCOS	10	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0_lr1	PCOS	50	test	codacore
0.506387921	pred_bal_0	PCOS	50	test	codacore
0.511033682	pred_bal_0	PCOS	50	test	codacore
0.494773519	pred_bal_0	PCOS	50	test	codacore
0.518002323	pred_bal_0	PCOS	50	test	codacore
0.506387921	pred_bal_0	PCOS	50	test	codacore
0.524970964	pred_bal_1_lr1	PCOS	50	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	50	test	codacore
0.494773519	pred_bal_1_lr1	PCOS	50	test	codacore
0.505226481	pred_bal_1_lr1	PCOS	50	test	codacore
0.547038328	pred_bal_1_lr1	PCOS	50	test	codacore
0.524970964	pred_bal_1	PCOS	50	test	codacore
0.547038328	pred_bal_1	PCOS	50	test	codacore
0.494773519	pred_bal_1	PCOS	50	test	codacore
0.495934959	pred_bal_1	PCOS	50	test	codacore
