loss	model	dataset	filtering	type	set
5.327026498	pred_bal_0_lr1	PCOS	50	test	codacore
5.327026498	pred_bal_0_lr1	PCOS	50	test	codacore
5.346296686	pred_bal_0	PCOS	50	test	codacore
5.327026498	pred_bal_0	PCOS	50	test	codacore
5.327026498	pred_bal_0	PCOS	50	test	codacore
5.414090715	pred_bal_0	PCOS	50	test	codacore
5.267343236	pred_bal_0	PCOS	50	test	codacore
5.415847934	pred_bal_1_lr1	PCOS	50	test	codacore
5.415847934	pred_bal_1_lr1	PCOS	50	test	codacore
5.373258316	pred_bal_1_lr1	PCOS	50	test	codacore
5.373258316	pred_bal_1_lr1	PCOS	50	test	codacore
5.415847934	pred_bal_1_lr1	PCOS	50	test	codacore
5.415847934	pred_bal_1	PCOS	50	test	codacore
5.415847934	pred_bal_1	PCOS	50	test	codacore
5.373258316	pred_bal_1	PCOS	50	test	codacore
5.373258316	pred_bal_1	PCOS	50	test	codacore
5.415847934	pred_bal_1	PCOS	50	test	codacore
5.247951529	ALRo	PCOS	10	training	svmRadial
5.18049277	ALRo	PCOS	10	training	svmRadial
5.211686993	ALRo	PCOS	10	training	svmRadial
5.362173601	ALRo	PCOS	10	training	svmRadial
5.254589384	ALRo	PCOS	10	training	svmRadial
5.263001173	ALRr	PCOS	10	training	svmRadial
5.228470681	ALRr	PCOS	10	training	svmRadial
5.286029308	ALRr	PCOS	10	training	svmRadial
5.114180924	ALRr	PCOS	10	training	svmRadial
5.266912531	ALRr	PCOS	10	training	svmRadial
5.356745905	ALRw	PCOS	10	training	svmRadial
5.334664424	ALRw	PCOS	10	training	svmRadial
5.287475323	ALRw	PCOS	10	training	svmRadial
5.405933537	ALRw	PCOS	10	training	svmRadial
5.322045594	ALRw	PCOS	10	training	svmRadial
5.169470157	CLR	PCOS	10	training	svmRadial
5.148940433	CLR	PCOS	10	training	svmRadial
5.280592477	CLR	PCOS	10	training	svmRadial
5.144836951	CLR	PCOS	10	training	svmRadial
5.13191785	CLR	PCOS	10	training	svmRadial
5.313124153	TSS	PCOS	10	training	svmRadial
5.349665555	TSS	PCOS	10	training	svmRadial
5.276149087	TSS	PCOS	10	training	svmRadial
5.321449475	TSS	PCOS	10	training	svmRadial
5.291536522	TSS	PCOS	10	training	svmRadial
5.423119143	ALRo	PCOS	50	training	svmRadial
5.4824382	ALRo	PCOS	50	training	svmRadial
5.469821564	ALRo	PCOS	50	training	svmRadial
5.40978399	ALRo	PCOS	50	training	svmRadial
5.450183393	ALRo	PCOS	50	training	svmRadial
5.457900701	ALRr	PCOS	50	training	svmRadial
5.468507467	ALRr	PCOS	50	training	svmRadial
5.39968611	ALRr	PCOS	50	training	svmRadial
5.395190274	ALRr	PCOS	50	training	svmRadial
5.409568165	ALRr	PCOS	50	training	svmRadial
5.446572664	ALRw	PCOS	50	training	svmRadial
5.447727593	ALRw	PCOS	50	training	svmRadial
5.46971258	ALRw	PCOS	50	training	svmRadial
5.420581289	ALRw	PCOS	50	training	svmRadial
5.504998678	ALRw	PCOS	50	training	svmRadial
5.373007026	CLR	PCOS	50	training	svmRadial
5.436400089	CLR	PCOS	50	training	svmRadial
5.373026832	CLR	PCOS	50	training	svmRadial
5.420952254	CLR	PCOS	50	training	svmRadial
5.399846533	CLR	PCOS	50	training	svmRadial
5.429586936	TSS	PCOS	50	training	svmRadial
5.461301869	TSS	PCOS	50	training	svmRadial
5.44012847	TSS	PCOS	50	training	svmRadial
5.440828756	TSS	PCOS	50	training	svmRadial
5.452328888	TSS	PCOS	50	training	svmRadial
4.833935765	ALRo	PCOS	10	test	svmRadial
4.833935765	ALRo	PCOS	10	test	svmRadial
4.833935765	ALRo	PCOS	10	test	svmRadial
4.833935765	ALRo	PCOS	10	test	svmRadial
4.833935765	ALRo	PCOS	10	test	svmRadial
4.900983275	ALRr	PCOS	10	test	svmRadial
4.782983434	ALRr	PCOS	10	test	svmRadial
4.782983434	ALRr	PCOS	10	test	svmRadial
4.782983434	ALRr	PCOS	10	test	svmRadial
4.782983434	ALRr	PCOS	10	test	svmRadial
4.947477356	ALRw	PCOS	10	test	svmRadial
4.935371076	ALRw	PCOS	10	test	svmRadial
4.947477356	ALRw	PCOS	10	test	svmRadial
4.985433165	ALRw	PCOS	10	test	svmRadial
4.759836956	ALRw	PCOS	10	test	svmRadial
4.751596182	CLR	PCOS	10	test	svmRadial
4.751596182	CLR	PCOS	10	test	svmRadial
4.751596182	CLR	PCOS	10	test	svmRadial
4.751596182	CLR	PCOS	10	test	svmRadial
4.751596182	CLR	PCOS	10	test	svmRadial
4.892243707	TSS	PCOS	10	test	svmRadial
4.851246214	TSS	PCOS	10	test	svmRadial
4.892243707	TSS	PCOS	10	test	svmRadial
