loss	type	model	dataset	filtering	procedure	set
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.709408602	test	pred_bal_0	E11	90	imputation	leaky
0.712231183	test	pred_bal_0	E11	90	imputation	leaky
0.714247312	test	pred_bal_0	E11	90	imputation	leaky
0.717137097	test	pred_bal_0	E11	90	imputation	leaky
0.710349462	test	pred_bal_0	E11	90	imputation	leaky
0.732795699	test	pred_bal_0	E11	90	imputation	leaky
0.705645161	test	pred_bal_0	E11	90	imputation	leaky
0.712567204	test	pred_bal_0	E11	90	imputation	leaky
0.706115591	test	pred_bal_0	E11	90	imputation	leaky
0.711290323	test	pred_bal_0	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.731854839	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.670766129	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.71061828	test	pred_bal_0	E11	90	imputation	leaky
0.721303763	test	pred_bal_0	E11	90	imputation	leaky
0.725134409	test	pred_bal_0	E11	90	imputation	leaky
0.728897849	test	pred_bal_0	E11	90	imputation	leaky
0.73313172	test	pred_bal_0	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.705376344	test	pred_bal_0	E11	90	imputation	leaky
0.722647849	test	pred_bal_0	E11	90	imputation	leaky
0.714650538	test	pred_bal_0	E11	90	imputation	leaky
0.726008065	test	pred_bal_0	E11	90	imputation	leaky
0.723185484	test	pred_bal_0	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.670766129	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.709341398	test	pred_bal_0	E11	90	imputation	leaky
0.731115591	test	pred_bal_0	E11	90	imputation	leaky
0.728494624	test	pred_bal_0	E11	90	imputation	leaky
0.703024194	test	pred_bal_0	E11	90	imputation	leaky
0.726612903	test	pred_bal_0	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.726612903	test	pred_bal_0	E11	90	imputation	leaky
0.722110215	test	pred_bal_0	E11	90	imputation	leaky
0.717473118	test	pred_bal_0	E11	90	imputation	leaky
0.730645161	test	pred_bal_0	E11	90	imputation	leaky
0.70719086	test	pred_bal_0	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812602401	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.812492358	training	model_bal_0	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.806146529	training	model_bal_1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.731854839	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.715725806	test	pred_bal_0_lr1	E11	90	imputation	leaky
0.732258065	test	pred_bal_0	E11	90	imputation	leaky
0.730241935	test	pred_bal_0	E11	90	imputation	leaky
0.704435484	test	pred_bal_0	E11	90	imputation	leaky
0.713104839	test	pred_bal_0	E11	90	imputation	leaky
0.712903226	test	pred_bal_0	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1_lr1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
0.659475806	test	pred_bal_1	E11	90	imputation	leaky
